date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:49:04	8890/8890	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Nov%202024%2012:52:21%20GMT	https://blankc2.fun/japidi/dowodnew/qr.html	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/qr.html	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:04	1091/1091	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22443-6271b4544c900%22	https://blankc2.fun/japidi/dowodnew/ai001_scanner_qr.svg	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/ai001_scanner_qr.svg	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:05	11598/11598	---MCZ	200	added ('OK')	text/html	date:Sun,%2017%20Nov%202024%2012:52:21%20GMT	https://blankc2.fun/japidi/dowodnew/more.html	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/more.html	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:05	492/492	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221ec-6271b4544c900%22	https://blankc2.fun/japidi/dowodnew/ab010_more.svg	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/ab010_more.svg	(from https://blankc2.fun/japidi/dowodnew/home.html)
21:49:05	480/480	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221e0-6271b4544c900%22	https://blankc2.fun/japidi/dowodnew/ab002_search_grey.svg	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/ab002_search_grey.svg	(from https://blankc2.fun/japidi/dowodnew/documents.html)
21:49:05	233/233	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e9-6271b4544c900%22	https://blankc2.fun/japidi/dowodnew/ic_arrow_forward_gray.svg	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/ic_arrow_forward_gray.svg	(from https://blankc2.fun/japidi/dowodnew/documents.html)
21:49:06	804/804	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22324-6271b4544c900%22	https://blankc2.fun/japidi/dowodnew/ab001_home.svg	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/ab001_home.svg	(from https://blankc2.fun/japidi/dowodnew/documents.html)
21:49:06	568/568	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22238-6271b4544c900%22	https://blankc2.fun/japidi/dowodnew/b002_framed_person.svg	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/b002_framed_person.svg	(from https://blankc2.fun/japidi/dowodnew/documents.html)
21:49:06	915/915	---MCZ	200	added ('OK')	application/json	etag:W/%22393-6271b45540b40%22	https://blankc2.fun/japidi/dowodnew/manifest.json	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/manifest.json	(from https://blankc2.fun/japidi/dowodnew/dowodnowy.html)
21:49:06	273/273	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Dec%202024%2020:49:06%20GMT	https://blankc2.fun/japidi/dowodnew/hmobywatel/sw.js	C:/Users/shibu/Desktop/PPs/`1221``12/blankc2.fun/japidi/dowodnew/hmobywatel/sw.js	(from https://blankc2.fun/japidi/dowodnew/dowodnowy.html)
